,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP,AES,AET,AFL,AGN,AIG
2000-12-12,39.058279278379,,0.98827218053277,,8.5516525262254,14.702671725459,29.969097611024328,41.361718177433445,,35.12307857834875,42.941451834571,8.8351228600275,33.995506054185,7.023929464485487,,18.497938148499,5.6138964278262,20.857510535612,38.376068538024,7.7438356242632,25.423257664729,45.251993478217,1457.7018838117
2000-12-13,39.699585523299,,0.96385453237917,,8.7474283025199,15.177234949114,28.541997724785073,41.361718177433445,,32.88720570237522,39.126346227358,8.8779425184767,34.237506097283,7.053114766969499,,18.497938148499,5.1789971096199,20.885166903173,39.52873379247,7.7438356242632,24.717460299681,44.391463766172,1432.0639109809
2000-12-14,40.422760650549,,0.92787062983701,,8.9806930572537,14.099214786737,27.828447781665446,41.361718177433445,,28.47508322712077,39.535107542416,8.9635818353752,34.820506201108,7.174720193986214,,18.337746341379,4.9032766268355,20.253679843862,37.991846786542,7.8302319113219,25.241351127345,43.827668437591,1414.6300894559
2000-12-15,38.805850224527,,0.90345298168341,,9.5805167122837,13.712533641537,27.157710835133,40.0548973094477,,31.0239783057306,38.904037441975,9.1919533471045,32.934005865145,6.719915896943698,,18.20706355136,4.8151597715127,20.166101346586,38.376068538024,7.5028354550994,25.514210933421,43.15507050174,1402.7633706028
2000-12-18,38.887719106857,,0.91566180576021,,10.022053569458,14.518119360704,28.18522275322526,41.88528423031235,,31.58046222152846,38.050658556151,9.5487838341816,32.895505858289,6.719915896943698,,18.181770108131,4.8862217516117,20.253679843862,40.297177295434,8.3690719121882,26.423743620339,45.31134035491,1441.2935812
2000-12-19,38.928653548022,,0.89959756355389,,10.321965396973,14.737824556841,26.85088435959156,42.136595935694224,,31.79908090273476,39.578135049265,9.7271990777201,32.758005833802,6.476705042910267,,18.497938148499,4.9700748881286,20.599384438375,40.727505657094,7.9575527554085,26.307323436413,46.864250295037,1377.1253977719
2000-12-20,35.817636019474,,0.9240152117075,,9.9845645910191,14.298414164568,26.40134789542619,41.88528423031235,,28.445271588774453,36.437127049341,9.5487838341816,32.417005773074,5.85165314804435,,19.075471768906,4.9700748881286,21.548919724637,40.489288171175,8.0143924179471,26.081759330057,44.698089295751,1367.0167113414
2000-12-21,35.053526451058,,0.90345298168341,,10.061625268922,14.099214786737,28.898772696344885,45.02668054758578,,29.717234824883846,34.020415414697,9.9484339797078,32.450005778951,5.86867790782669,,19.286250462485,5.5073034576776,21.378372124678,38.806396899684,7.9711942744177,25.696117470804,45.805897660683,1419.3181759164
2000-12-22,37.311743122,,0.96385453237917,,10.401108795901,13.879509590601,28.855959699757708,46.07381265334358,,32.6387753828226,35.318411871286,9.8556580530678,32.725005827925,5.858949473665353,,19.206154558925,5.5613105625529,21.493606989515,40.343283905612,8.2713076926217,25.557868502393,47.477501354195,1418.2926570032
2000-12-26,36.499876705559,,0.94393487204333,,10.542733825561,14.116791202428,29.926284614437147,53.655049099030116,,32.76299054259891,37.017998391793,9.9912536381571,33.654505993457,5.807875194318332,,19.733101292873,5.3125936322061,22.125094048826,42.886831900423,8.6396287058721,25.445086449215,48.842479518128,1429.280359645
2000-12-27,38.164543979607,,0.95164570830237,,10.790577627466,14.225179099189,30.511395567795248,56.293822005539795,,32.544371861392605,39.843471341496,10.212488540145,34.545506152134,6.019468637327417,,19.627711946083,6.1269639241414,22.097437681264,42.986729555808,9.3512612808557,25.96897727688,49.515077453979,1457.7018838117
2000-12-28,37.734732347373,,0.95164570830237,,10.959278030443,14.207602683498,30.640226231698676,60.482350428571024,,30.621521188055365,38.724756163441,10.440860051874,34.859006207964,6.445087631885922,,19.391639809275,6.1113302885196,21.691810957036,43.132733821371,9.3080631373264,26.172712598749,51.621891576571,1451.2557649285
2000-12-29,37.352677563166,,0.95614369612013,,10.517741173268,14.190026267807,30.37540764478607,59.18390661743135,,28.91232058953337,36.709634592713,10.704914612311,34.820506201108,6.552100407660632,,19.522322599294,6.004737318371,21.4336848598,42.556401194148,9.3353461753449,26.263665867441,50.632776965026,1443.930629834
2001-01-02,34.712406108016,,0.95614369612013,,10.401108795901,14.099214786737,29.523693811202296,55.74931331054574,,23.224508423376243,33.704880364476,10.440860051874,34.133006078672,6.248086840118843,,19.050178325677,5.9166204630482,21.00040176801,39.766951278389,9.2216668502676,25.332304396037,47.784126883774,1419.3181759164
2001-01-03,38.294169709963,,1.0518865796698,,10.609380898342,13.785768706916,28.185286358427792,56.54513371092167,,28.79580607854525,39.083318720509,9.9912536381571,33.41250595036,6.6566810748950065,,18.23235699459,6.7778916618489,20.166101346586,38.376068538024,9.4353839814129,24.648335815475,47.606086253696,1405.5469219387
2001-01-04,39.740519964464,,1.0962238881592,,9.7367207891144,12.523196179784,26.66079016890389,56.293822005539795,,26.713403119119906,37.383732200003,10.034073296606,31.17950555269,7.144171450207713,,16.887588929555,7.1332015623442,19.156643930608,38.276170882638,8.8965439805467,23.695145559585,46.241108089763,1303.8740468266
2001-01-05,37.564172175852,,1.0518865796698,,9.3972372621356,12.596431245163,27.154641047200364,58.38808621705541,,25.595167639714887,34.156669186383,9.8556580530678,30.184005375404,7.0686104420342435,,16.862295486326,6.6002367116012,18.810939336095,39.482627182292,8.71010988742,23.42228575351,46.122414336377,1287.4657442148
